id,name,zip_id/id
district_sv_050301,Antiguo Cuscatlán,l10n_sv_base_location.zip_sv_0503_01502
district_sv_050306,Huizúcar,l10n_sv_base_location.zip_sv_0503_01508
district_sv_050310,Nuevo Cuscatlán,l10n_sv_base_location.zip_sv_0503_01513
district_sv_050314,San José Villanueva,l10n_sv_base_location.zip_sv_0503_01517
district_sv_050322,Zaragoza,l10n_sv_base_location.zip_sv_0503_01525
district_sv_050412,Quezaltepeque,l10n_sv_base_location.zip_sv_0504_01515
district_sv_050416,San Matías,l10n_sv_base_location.zip_sv_0504_01518
district_sv_050417,San Pablo Tacachico,l10n_sv_base_location.zip_sv_0504_01519
district_sv_050503,Colón,l10n_sv_base_location.zip_sv_0505_01512
district_sv_050507,Jayaque,l10n_sv_base_location.zip_sv_0505_01509
district_sv_050513,Sacacoyo,l10n_sv_base_location.zip_sv_0505_01516
district_sv_050519,Talnique,l10n_sv_base_location.zip_sv_0505_01521
district_sv_050521,Tepecoyo,l10n_sv_base_location.zip_sv_0505_01524
district_sv_050604,Comasagua,l10n_sv_base_location.zip_sv_0506_01506
district_sv_050611,Santa Tecla antes: Nueva San Salvador,l10n_sv_base_location.zip_sv_0506_01501
district_sv_060103,Ayutuxtepeque,l10n_sv_base_location.zip_sv_0601_01121
district_sv_060104,Cuscatancingo,l10n_sv_base_location.zip_sv_0601_01119
district_sv_060108,Mejicanos,l10n_sv_base_location.zip_sv_0601_01120
district_sv_060114,San Salvador,l10n_sv_base_location.zip_sv_0601_01101
district_sv_060119,Delgado,l10n_sv_base_location.zip_sv_0601_01118
district_sv_060207,Ilopango,l10n_sv_base_location.zip_sv_0602_01117
district_sv_060213,San Martín,l10n_sv_base_location.zip_sv_0602_01129
district_sv_060217,Soyapango,l10n_sv_base_location.zip_sv_0602_01116
district_sv_060218,Tonacatepeque,l10n_sv_base_location.zip_sv_0602_01132
district_sv_060301,Aguilares,l10n_sv_base_location.zip_sv_0603_01122
district_sv_060305,El Paisnal,l10n_sv_base_location.zip_sv_0603_01124
district_sv_060306,Guazapa,l10n_sv_base_location.zip_sv_0603_01125
district_sv_060402,Apopa,l10n_sv_base_location.zip_sv_0604_01123
district_sv_060409,Nejapa,l10n_sv_base_location.zip_sv_0604_01126
district_sv_060510,Panchimalco,l10n_sv_base_location.zip_sv_0605_01127
district_sv_060511,Rosario de Mora,l10n_sv_base_location.zip_sv_0605_01128
district_sv_060512,San Marcos,l10n_sv_base_location.zip_sv_0605_01115
district_sv_060515,Santiago Texacuangos,l10n_sv_base_location.zip_sv_0605_01130
district_sv_060516,Santo Tomás,l10n_sv_base_location.zip_sv_0605_01131
district_sv_070106,Oratorio de Concepción,l10n_sv_base_location.zip_sv_0701_01406
district_sv_070107,San Bartolomé Perulapía,l10n_sv_base_location.zip_sv_0701_01407
district_sv_070109,San José Guayabal,l10n_sv_base_location.zip_sv_0701_01409
district_sv_070110,San Pedro Perulapán,l10n_sv_base_location.zip_sv_0701_01410
